total_steps,episode,episode_steps,episode_reward,episode_time,win,repeated,intrinsic_reward,loss,epsilon
31,1,31,2.91,4.614491939544678,False,0,0.0,,
57,2,26,2.76,3.587738275527954,False,0,0.0,6.737603664398193,0.0
101,3,44,10.910000000000002,6.485800504684448,False,0,0.0,5.380957126617432,0.0
172,4,71,12.0,12.813245296478271,True,0,0.0,7.044159412384033,0.0
197,5,25,6.569999999999999,2.6606063842773438,False,0,0.0,7.228376865386963,0.0
233,6,36,10.0,7.299351930618286,False,0,0.0,6.202753067016602,0.0
267,7,34,8.8,11.592846155166626,False,0,0.0,3.161999225616455,0.0
295,8,28,6.09,9.36586332321167,False,0,0.0,7.044055938720703,0.0
325,9,30,6.58,6.244292497634888,False,0,0.0,6.160699844360352,0.0
353,10,28,6.51,3.553175449371338,False,0,0.0,6.596798896789551,0.0
400,11,47,10.0,7.902642726898193,False,0,0.0,6.7758073806762695,0.0
427,12,27,8.09,3.429964780807495,False,0,0.0,6.4145894050598145,0.0
474,13,47,10.0,7.128822565078735,False,0,0.0,5.251003265380859,0.0
532,14,58,4.34,10.150156736373901,False,0,0.0,5.954973220825195,0.0
562,15,30,6.5,3.8336524963378906,False,0,0.0,7.201941967010498,0.0
597,16,35,11.999999999999998,10.821950197219849,True,0,0.0,3.9762191772460938,0.0
628,17,31,6.73,10.604003429412842,False,0,0.0,7.1334228515625,0.0
655,18,27,6.29,9.08713984489441,False,0,0.0,6.743161201477051,0.0
686,19,31,6.259999999999999,7.636152744293213,False,0,0.0,6.86630392074585,0.0
708,20,22,4.12,3.36283016204834,False,0,0.0,6.382364273071289,0.0
761,21,53,12.0,11.398072004318237,True,0,0.0,6.903421878814697,0.0
782,22,21,6.0,6.181386947631836,False,0,0.0,4.180346965789795,0.0
809,23,27,6.0,4.994227409362793,False,0,0.0,4.112061500549316,0.0
833,24,24,6.17,2.704037666320801,False,0,0.0,5.8996477127075195,0.0
871,25,38,11.999999999999996,5.453118324279785,True,0,0.0,5.296645164489746,0.0
914,26,43,11.999999999999996,16.74539351463318,True,0,0.0,4.790162086486816,0.0
943,27,29,8.0,3.545027494430542,False,0,0.0,3.6428914070129395,0.0
983,28,40,8.95,5.308933734893799,False,0,0.0,4.262846946716309,0.0
1011,29,28,12.0,3.551771879196167,True,0,0.0,7.059767723083496,0.0
1041,30,30,6.790000000000001,3.8298208713531494,False,0,0.0,7.093837738037109,0.0
1069,31,28,10.549999999999999,4.345333099365234,False,0,0.0,7.019659519195557,0.0
1114,32,45,10.469999999999999,17.954864740371704,False,0,0.0,3.312439203262329,0.0
1154,33,40,6.520000000000003,6.513605356216431,False,0,0.0,3.0885307788848877,0.0
1188,34,34,9.999999999999998,4.236568450927734,False,0,0.0,2.720256805419922,0.0
1261,35,73,0.28,26.276036739349365,False,0,0.0,2.8406591415405273,0.0
1316,36,55,10.429999999999996,22.156893014907837,False,0,0.0,2.886106491088867,0.0
1350,37,34,2.9600000000000004,13.396608591079712,False,0,0.0,2.6151607036590576,0.0
1392,38,42,12.0,15.253471851348877,True,0,0.0,2.3698301315307617,0.0
1435,39,43,6.0,16.357277393341064,False,0,0.0,3.597688674926758,0.0
